gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim
2024020704,UTA,H,2025-01-14,0,2,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Canadiens'},2,0,0,1,0,0,0,25,0,0,22:11,MTL,0
2024020680,UTA,H,2025-01-11,1,0,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Islanders'},1,0,0,0,0,0,3,25,0,0,19:24,NYI,0
2024020668,UTA,H,2025-01-10,1,0,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Sharks'},1,0,0,0,0,0,2,21,0,0,17:48,SJS,0
2024020652,UTA,H,2025-01-08,0,0,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Panthers'},0,-2,0,0,0,0,2,23,0,0,21:21,FLA,0
2024020628,UTA,R,2025-01-04,0,0,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Stars'},0,-1,0,0,0,0,1,23,0,0,20:01,DAL,0
2024020611,UTA,R,2025-01-02,0,0,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Flames'},0,0,0,0,0,0,2,23,0,0,19:52,CGY,0
2024020601,UTA,R,2024-12-31,0,0,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Oilers'},0,-2,0,0,0,0,1,19,0,0,18:41,EDM,0
2024020588,UTA,R,2024-12-30,0,1,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Kraken'},1,-3,0,1,0,0,0,23,0,0,20:54,SEA,0
2024020564,UTA,H,2024-12-27,1,0,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Avalanche'},1,-2,1,1,0,0,3,25,0,0,17:57,COL,0
2024020556,UTA,H,2024-12-23,0,1,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Stars'},1,1,0,0,0,0,5,23,0,0,17:45,DAL,0
2024020542,UTA,H,2024-12-22,0,1,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Ducks'},1,2,0,0,0,0,5,24,0,0,21:33,ANA,0
2024020526,UTA,R,2024-12-20,0,0,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Wild'},0,0,0,0,0,0,0,19,0,0,16:17,MIN,0
2024020510,UTA,H,2024-12-18,0,1,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Canucks'},1,1,0,0,0,0,3,22,0,0,19:56,VAN,0
2024020487,UTA,R,2024-12-14,1,1,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Sharks'},2,0,1,2,0,0,1,26,0,0,20:31,SJS,0
2024020469,UTA,R,2024-12-12,0,1,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Avalanche'},1,-1,0,1,0,0,0,21,0,0,17:18,COL,0
2024020454,UTA,H,2024-12-10,0,0,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Wild'},0,-2,0,0,0,0,2,25,0,0,22:00,MIN,0
2024020441,UTA,R,2024-12-08,0,0,"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",{'default': 'Flyers'},0,0,0,0,0,0,2,22,0,0,21:24,PHI,0
